Dataset,Transform,Sample_Index,Sample_ID,Member_Seed,Original_Prediction,Transformed_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change
Test,original,6,randomness_0.5435,73,0.020070895552635193,0.020070895552635193,0.0,0.0
Test,original,6,randomness_0.5435,101,0.01965523511171341,0.01965523511171341,0.0,0.0
Test,original,6,randomness_0.5435,202,0.020421015098690987,0.020421015098690987,0.0,0.0
Test,original,7,randomness_0.3614,11,0.03333273157477379,0.03333273157477379,0.0,0.0
Test,original,7,randomness_0.3614,42,0.03377621993422508,0.03377621993422508,0.0,0.0
Test,original,7,randomness_0.3614,73,0.03373078629374504,0.03373078629374504,0.0,0.0
Test,original,7,randomness_0.3614,101,0.03375561907887459,0.03375561907887459,0.0,0.0
Test,original,7,randomness_0.3614,202,0.03384269028902054,0.03384269028902054,0.0,0.0
Test,original,8,randomness_0.4865,11,0.03131905943155289,0.03131905943155289,0.0,0.0
Test,original,8,randomness_0.4865,42,0.03149830549955368,0.03149830549955368,0.0,0.0
Test,original,8,randomness_0.4865,73,0.03177386894822121,0.03177386894822121,0.0,0.0
Test,original,8,randomness_0.4865,101,0.030746372416615486,0.030746372416615486,0.0,0.0
Test,original,8,randomness_0.4865,202,0.03179849311709404,0.03179849311709404,0.0,0.0
Test,original,9,randomness_0.2773,11,0.03768477588891983,0.03768477588891983,0.0,0.0
Test,original,9,randomness_0.2773,42,0.03750874847173691,0.03750874847173691,0.0,0.0
Test,original,9,randomness_0.2773,73,0.037116315215826035,0.037116315215826035,0.0,0.0
Test,original,9,randomness_0.2773,101,0.03776825591921806,0.03776825591921806,0.0,0.0
Test,original,9,randomness_0.2773,202,0.03794753551483154,0.03794753551483154,0.0,0.0
Test,original,10,randomness_0.6627,11,0.024438686668872833,0.024438686668872833,0.0,0.0
Test,original,10,randomness_0.6627,42,0.02211482636630535,0.02211482636630535,0.0,0.0
Test,original,10,randomness_0.6627,73,0.022884221747517586,0.022884221747517586,0.0,0.0
Test,original,10,randomness_0.6627,101,0.02204098179936409,0.02204098179936409,0.0,0.0
Test,original,10,randomness_0.6627,202,0.02254374511539936,0.02254374511539936,0.0,0.0
Test,original,11,randomness_0.3774,11,0.035244423896074295,0.035244423896074295,0.0,0.0
Test,original,11,randomness_0.3774,42,0.03363201022148132,0.03363201022148132,0.0,0.0
Test,original,11,randomness_0.3774,73,0.03341079503297806,0.03341079503297806,0.0,0.0
Test,original,11,randomness_0.3774,101,0.0339321531355381,0.0339321531355381,0.0,0.0
Test,original,11,randomness_0.3774,202,0.03364287689328194,0.03364287689328194,0.0,0.0
Test,original,12,randomness_0.6687,11,0.021703675389289856,0.021703675389289856,0.0,0.0
Test,original,12,randomness_0.6687,42,0.021792670711874962,0.021792670711874962,0.0,0.0
Test,original,12,randomness_0.6687,73,0.021377883851528168,0.021377883851528168,0.0,0.0
Test,original,12,randomness_0.6687,101,0.02050558105111122,0.02050558105111122,0.0,0.0
Test,original,12,randomness_0.6687,202,0.02068093977868557,0.02068093977868557,0.0,0.0
Test,original,13,randomness_0.5896,11,0.026048986241221428,0.026048986241221428,0.0,0.0
Test,original,13,randomness_0.5896,42,0.024984819814562798,0.024984819814562798,0.0,0.0
Test,original,13,randomness_0.5896,73,0.02524099312722683,0.02524099312722683,0.0,0.0
Test,original,13,randomness_0.5896,101,0.024157969281077385,0.024157969281077385,0.0,0.0
Test,original,13,randomness_0.5896,202,0.024184273555874825,0.024184273555874825,0.0,0.0
Test,original,14,randomness_0.3554,11,0.0361446887254715,0.0361446887254715,0.0,0.0
Test,original,14,randomness_0.3554,42,0.03677878901362419,0.03677878901362419,0.0,0.0
Test,original,14,randomness_0.3554,73,0.03637724369764328,0.03637724369764328,0.0,0.0
Test,original,14,randomness_0.3554,101,0.03468836098909378,0.03468836098909378,0.0,0.0
Test,original,14,randomness_0.3554,202,0.03633695840835571,0.03633695840835571,0.0,0.0
Test,original,15,randomness_0.2593,11,0.037012979388237,0.037012979388237,0.0,0.0
Test,original,15,randomness_0.2593,42,0.036235082894563675,0.036235082894563675,0.0,0.0
Test,original,15,randomness_0.2593,73,0.03654223307967186,0.03654223307967186,0.0,0.0
Test,original,15,randomness_0.2593,101,0.03718305751681328,0.03718305751681328,0.0,0.0
Test,original,15,randomness_0.2593,202,0.037465497851371765,0.037465497851371765,0.0,0.0
Test,original,16,randomness_0.6176,11,0.021010445430874825,0.021010445430874825,0.0,0.0
Test,original,16,randomness_0.6176,42,0.01925431378185749,0.01925431378185749,0.0,0.0
Test,original,16,randomness_0.6176,73,0.019963035359978676,0.019963035359978676,0.0,0.0
Test,original,16,randomness_0.6176,101,0.018779685720801353,0.018779685720801353,0.0,0.0
Test,original,16,randomness_0.6176,202,0.019270531833171844,0.019270531833171844,0.0,0.0
Test,original,17,randomness_0.9780,11,0.0035268564242869616,0.0035268564242869616,0.0,0.0
Test,original,17,randomness_0.9780,42,0.001347278361208737,0.001347278361208737,0.0,0.0
Test,original,17,randomness_0.9780,73,0.003406862961128354,0.003406862961128354,0.0,0.0
Test,original,17,randomness_0.9780,101,0.0032654099632054567,0.0032654099632054567,0.0,0.0
Test,original,17,randomness_0.9780,202,0.002283242763951421,0.002283242763951421,0.0,0.0
Test,original,18,randomness_0.2753,11,0.03774562478065491,0.03774562478065491,0.0,0.0
Test,original,18,randomness_0.2753,42,0.0379134938120842,0.0379134938120842,0.0,0.0
Test,original,18,randomness_0.2753,73,0.03772607445716858,0.03772607445716858,0.0,0.0
Test,original,18,randomness_0.2753,101,0.037782613188028336,0.037782613188028336,0.0,0.0
Test,original,18,randomness_0.2753,202,0.03817259520292282,0.03817259520292282,0.0,0.0
Test,original,19,randomness_0.0701,11,0.03653369098901749,0.03653369098901749,0.0,0.0
Test,original,19,randomness_0.0701,42,0.03633759543299675,0.03633759543299675,0.0,0.0
Test,original,19,randomness_0.0701,73,0.0359785296022892,0.0359785296022892,0.0,0.0
Test,original,19,randomness_0.0701,101,0.03630947694182396,0.03630947694182396,0.0,0.0
Test,original,19,randomness_0.0701,202,0.03699552267789841,0.03699552267789841,0.0,0.0
Test,original,20,randomness_0.2372,11,0.04196849465370178,0.04196849465370178,0.0,0.0
Test,original,20,randomness_0.2372,42,0.04095936939120293,0.04095936939120293,0.0,0.0
Test,original,20,randomness_0.2372,73,0.04102877527475357,0.04102877527475357,0.0,0.0
Test,original,20,randomness_0.2372,101,0.04142134636640549,0.04142134636640549,0.0,0.0
Test,original,20,randomness_0.2372,202,0.04195675626397133,0.04195675626397133,0.0,0.0
Test,original,21,randomness_0.2803,11,0.03350960835814476,0.03350960835814476,0.0,0.0
Test,original,21,randomness_0.2803,42,0.034360915422439575,0.034360915422439575,0.0,0.0
Test,original,21,randomness_0.2803,73,0.03458763659000397,0.03458763659000397,0.0,0.0
Test,original,21,randomness_0.2803,101,0.033901818096637726,0.033901818096637726,0.0,0.0
Test,original,21,randomness_0.2803,202,0.03461907058954239,0.03461907058954239,0.0,0.0
Test,original,22,randomness_0.8228,11,0.004255316220223904,0.004255316220223904,0.0,0.0
Test,original,22,randomness_0.8228,42,0.005887684412300587,0.005887684412300587,0.0,0.0
Test,original,22,randomness_0.8228,73,0.0059613632038235664,0.0059613632038235664,0.0,0.0
Test,original,22,randomness_0.8228,101,0.005261317826807499,0.005261317826807499,0.0,0.0
Test,original,22,randomness_0.8228,202,0.005350806750357151,0.005350806750357151,0.0,0.0
Test,original,23,randomness_0.2182,11,0.034551169723272324,0.034551169723272324,0.0,0.0
Test,original,23,randomness_0.2182,42,0.03429653123021126,0.03429653123021126,0.0,0.0
Test,original,23,randomness_0.2182,73,0.03400015830993652,0.03400015830993652,0.0,0.0
Test,original,23,randomness_0.2182,101,0.03460261598229408,0.03460261598229408,0.0,0.0
Test,original,23,randomness_0.2182,202,0.03533010184764862,0.03533010184764862,0.0,0.0
Test,original,24,randomness_0.6927,11,0.02072478085756302,0.02072478085756302,0.0,0.0
Test,original,24,randomness_0.6927,42,0.019152997061610222,0.019152997061610222,0.0,0.0
Test,original,24,randomness_0.6927,73,0.01978646218776703,0.01978646218776703,0.0,0.0
Test,original,24,randomness_0.6927,101,0.019637642428278923,0.019637642428278923,0.0,0.0
Test,original,24,randomness_0.6927,202,0.01963670179247856,0.01963670179247856,0.0,0.0
Test,original,25,randomness_0.2963,11,0.03945479169487953,0.03945479169487953,0.0,0.0
Test,original,25,randomness_0.2963,42,0.03870806470513344,0.03870806470513344,0.0,0.0
Test,original,25,randomness_0.2963,73,0.03840002417564392,0.03840002417564392,0.0,0.0
Test,original,25,randomness_0.2963,101,0.038524527102708817,0.038524527102708817,0.0,0.0
Test,original,25,randomness_0.2963,202,0.039298102259635925,0.039298102259635925,0.0,0.0
Test,original,26,randomness_0.3183,11,0.03216857835650444,0.03216857835650444,0.0,0.0
Test,original,26,randomness_0.3183,42,0.032547250390052795,0.032547250390052795,0.0,0.0
Test,original,26,randomness_0.3183,73,0.03285633400082588,0.03285633400082588,0.0,0.0
Test,original,26,randomness_0.3183,101,0.032226916402578354,0.032226916402578354,0.0,0.0
Test,original,26,randomness_0.3183,202,0.033032357692718506,0.033032357692718506,0.0,0.0
Test,original,27,randomness_0.8669,11,0.003890683175995946,0.003890683175995946,0.0,0.0
Test,original,27,randomness_0.8669,42,0.003072032006457448,0.003072032006457448,0.0,0.0
Test,original,27,randomness_0.8669,73,0.003657923312857747,0.003657923312857747,0.0,0.0
Test,original,27,randomness_0.8669,101,0.002982405247166753,0.002982405247166753,0.0,0.0
Test,original,27,randomness_0.8669,202,0.0041148466989398,0.0041148466989398,0.0,0.0
Test,original,28,randomness_0.5596,11,0.022518569603562355,0.022518569603562355,0.0,0.0
Test,original,28,randomness_0.5596,42,0.02238229103386402,0.02238229103386402,0.0,0.0
Test,original,28,randomness_0.5596,73,0.021877234801650047,0.021877234801650047,0.0,0.0
Test,original,28,randomness_0.5596,101,0.020824138075113297,0.020824138075113297,0.0,0.0
Test,original,28,randomness_0.5596,202,0.02071448415517807,0.02071448415517807,0.0,0.0
Test,original,29,randomness_0.2653,11,0.03575592488050461,0.03575592488050461,0.0,0.0
Test,original,29,randomness_0.2653,42,0.034170981496572495,0.034170981496572495,0.0,0.0
Test,original,29,randomness_0.2653,73,0.03499182313680649,0.03499182313680649,0.0,0.0
Test,original,29,randomness_0.2653,101,0.03564206510782242,0.03564206510782242,0.0,0.0
Test,original,29,randomness_0.2653,202,0.03581273555755615,0.03581273555755615,0.0,0.0
Test,original,30,randomness_0.1361,11,0.03804817050695419,0.03804817050695419,0.0,0.0
Test,original,30,randomness_0.1361,42,0.0381254181265831,0.0381254181265831,0.0,0.0
Test,original,30,randomness_0.1361,73,0.03787863627076149,0.03787863627076149,0.0,0.0
Test,original,30,randomness_0.1361,101,0.037929680198431015,0.037929680198431015,0.0,0.0
Test,original,30,randomness_0.1361,202,0.038778793066740036,0.038778793066740036,0.0,0.0
Test,original,31,randomness_0.7618,11,0.01580098271369934,0.01580098271369934,0.0,0.0
Test,original,31,randomness_0.7618,42,0.014802095480263233,0.014802095480263233,0.0,0.0
Test,original,31,randomness_0.7618,73,0.016860708594322205,0.016860708594322205,0.0,0.0
Test,original,31,randomness_0.7618,101,0.01601843163371086,0.01601843163371086,0.0,0.0
Test,original,31,randomness_0.7618,202,0.01575634256005287,0.01575634256005287,0.0,0.0
Test,original,32,randomness_0.0300,11,0.03916575014591217,0.03916575014591217,0.0,0.0
Test,original,32,randomness_0.0300,42,0.038839101791381836,0.038839101791381836,0.0,0.0
Test,original,32,randomness_0.0300,73,0.03874159976840019,0.03874159976840019,0.0,0.0
Test,original,32,randomness_0.0300,101,0.03873354569077492,0.03873354569077492,0.0,0.0
Test,original,32,randomness_0.0300,202,0.039432626217603683,0.039432626217603683,0.0,0.0
Test,original,33,randomness_0.2893,11,0.030344774946570396,0.030344774946570396,0.0,0.0
Test,original,33,randomness_0.2893,42,0.03014414757490158,0.03014414757490158,0.0,0.0
Test,original,33,randomness_0.2893,73,0.03056381084024906,0.03056381084024906,0.0,0.0
Test,original,33,randomness_0.2893,101,0.029450127854943275,0.029450127854943275,0.0,0.0
Test,original,33,randomness_0.2893,202,0.030634906142950058,0.030634906142950058,0.0,0.0
Test,original,34,randomness_0.6436,11,0.01873798668384552,0.01873798668384552,0.0,0.0
Test,original,34,randomness_0.6436,42,0.018547067418694496,0.018547067418694496,0.0,0.0
Test,original,34,randomness_0.6436,73,0.01863316260278225,0.01863316260278225,0.0,0.0
Test,original,34,randomness_0.6436,101,0.0195733904838562,0.0195733904838562,0.0,0.0
Test,original,34,randomness_0.6436,202,0.018515611067414284,0.018515611067414284,0.0,0.0
Test,original,35,randomness_0.6356,11,0.019419297575950623,0.019419297575950623,0.0,0.0
Test,original,35,randomness_0.6356,42,0.018683327361941338,0.018683327361941338,0.0,0.0
Test,original,35,randomness_0.6356,73,0.018536627292633057,0.018536627292633057,0.0,0.0
Test,original,35,randomness_0.6356,101,0.018329733982682228,0.018329733982682228,0.0,0.0
Test,original,35,randomness_0.6356,202,0.0176395196467638,0.0176395196467638,0.0,0.0
Test,original,36,randomness_0.0551,11,0.03768462315201759,0.03768462315201759,0.0,0.0
Test,original,36,randomness_0.0551,42,0.0381012000143528,0.0381012000143528,0.0,0.0
Test,original,36,randomness_0.0551,73,0.037835102528333664,0.037835102528333664,0.0,0.0
Test,original,36,randomness_0.0551,101,0.037543728947639465,0.037543728947639465,0.0,0.0
Test,original,36,randomness_0.0551,202,0.03865243121981621,0.03865243121981621,0.0,0.0
Test,original,37,randomness_0.2152,11,0.03151234611868858,0.03151234611868858,0.0,0.0
Test,original,37,randomness_0.2152,42,0.032133426517248154,0.032133426517248154,0.0,0.0
Test,original,37,randomness_0.2152,73,0.03255864605307579,0.03255864605307579,0.0,0.0
Test,original,37,randomness_0.2152,101,0.030566394329071045,0.030566394329071045,0.0,0.0
Test,original,37,randomness_0.2152,202,0.032754626125097275,0.032754626125097275,0.0,0.0
Test,original,38,randomness_0.8659,11,0.012965605594217777,0.012965605594217777,0.0,0.0
Test,original,38,randomness_0.8659,42,0.012479840777814388,0.012479840777814388,0.0,0.0
Test,original,38,randomness_0.8659,73,0.014899433590471745,0.014899433590471745,0.0,0.0
Test,original,38,randomness_0.8659,101,0.01471581868827343,0.01471581868827343,0.0,0.0
Test,original,38,randomness_0.8659,202,0.013360466808080673,0.013360466808080673,0.0,0.0
Test,original,39,randomness_0.6527,11,0.01770375296473503,0.01770375296473503,0.0,0.0
Test,original,39,randomness_0.6527,42,0.016924547031521797,0.016924547031521797,0.0,0.0
Test,original,39,randomness_0.6527,73,0.017575044184923172,0.017575044184923172,0.0,0.0
Test,original,39,randomness_0.6527,101,0.017294839024543762,0.017294839024543762,0.0,0.0
Test,original,39,randomness_0.6527,202,0.017470117658376694,0.017470117658376694,0.0,0.0
Test,original,40,randomness_0.3073,11,0.036178626120090485,0.036178626120090485,0.0,0.0
Test,original,40,randomness_0.3073,42,0.03591012582182884,0.03591012582182884,0.0,0.0
Test,original,40,randomness_0.3073,73,0.03618065267801285,0.03618065267801285,0.0,0.0
Test,original,40,randomness_0.3073,101,0.03582523763179779,0.03582523763179779,0.0,0.0
Test,original,40,randomness_0.3073,202,0.03704094514250755,0.03704094514250755,0.0,0.0
Test,original,41,randomness_0.2082,11,0.03747836500406265,0.03747836500406265,0.0,0.0
Test,original,41,randomness_0.2082,42,0.03746737539768219,0.03746737539768219,0.0,0.0
Test,original,41,randomness_0.2082,73,0.03749241679906845,0.03749241679906845,0.0,0.0
Test,original,41,randomness_0.2082,101,0.03772009164094925,0.03772009164094925,0.0,0.0
Test,original,41,randomness_0.2082,202,0.03816499933600426,0.03816499933600426,0.0,0.0
Test,original,42,randomness_0.9019,11,0.00028937231400050223,0.00028937231400050223,0.0,0.0
Test,original,42,randomness_0.9019,42,0.0022935897577553988,0.0022935897577553988,0.0,0.0
Test,original,42,randomness_0.9019,73,0.001869005267508328,0.001869005267508328,0.0,0.0
Test,original,42,randomness_0.9019,101,0.0019956633914262056,0.0019956633914262056,0.0,0.0
Test,original,42,randomness_0.9019,202,0.0029330675024539232,0.0029330675024539232,0.0,0.0
Test,original,43,randomness_0.2102,11,0.037299543619155884,0.037299543619155884,0.0,0.0
Test,original,43,randomness_0.2102,42,0.037131477147340775,0.037131477147340775,0.0,0.0
Test,original,43,randomness_0.2102,73,0.036839231848716736,0.036839231848716736,0.0,0.0
Test,original,43,randomness_0.2102,101,0.03722942993044853,0.03722942993044853,0.0,0.0
Test,original,43,randomness_0.2102,202,0.03759052976965904,0.03759052976965904,0.0,0.0
Test,original,44,randomness_0.7137,11,0.016699722036719322,0.016699722036719322,0.0,0.0
Test,original,44,randomness_0.7137,42,0.015244574286043644,0.015244574286043644,0.0,0.0
Test,original,44,randomness_0.7137,73,0.016335276886820793,0.016335276886820793,0.0,0.0
Test,original,44,randomness_0.7137,101,0.016871707513928413,0.016871707513928413,0.0,0.0
Test,original,44,randomness_0.7137,202,0.015971124172210693,0.015971124172210693,0.0,0.0
Test,original,45,randomness_0.4084,11,0.03177281469106674,0.03177281469106674,0.0,0.0
Test,original,45,randomness_0.4084,42,0.03123701736330986,0.03123701736330986,0.0,0.0
Test,original,45,randomness_0.4084,73,0.030840249732136726,0.030840249732136726,0.0,0.0
Test,original,45,randomness_0.4084,101,0.031064435839653015,0.031064435839653015,0.0,0.0
Test,original,45,randomness_0.4084,202,0.030868664383888245,0.030868664383888245,0.0,0.0
Test,original,46,randomness_0.9479,11,0.0022288274485617876,0.0022288274485617876,0.0,0.0
Test,original,46,randomness_0.9479,42,0.002501716138795018,0.002501716138795018,0.0,0.0
Test,original,46,randomness_0.9479,73,0.0038138285744935274,0.0038138285744935274,0.0,0.0
Test,original,46,randomness_0.9479,101,0.004634262062609196,0.004634262062609196,0.0,0.0
Test,original,46,randomness_0.9479,202,0.004646223969757557,0.004646223969757557,0.0,0.0
Test,original,47,randomness_0.3193,11,0.037201736122369766,0.037201736122369766,0.0,0.0
Test,original,47,randomness_0.3193,42,0.0370497852563858,0.0370497852563858,0.0,0.0
Test,original,47,randomness_0.3193,73,0.03658885508775711,0.03658885508775711,0.0,0.0
Test,original,47,randomness_0.3193,101,0.03587967902421951,0.03587967902421951,0.0,0.0
Test,original,47,randomness_0.3193,202,0.03727683052420616,0.03727683052420616,0.0,0.0
Test,original,48,randomness_0.2813,11,0.037094596773386,0.037094596773386,0.0,0.0
Test,original,48,randomness_0.2813,42,0.03771732747554779,0.03771732747554779,0.0,0.0
Test,original,48,randomness_0.2813,73,0.037662576884031296,0.037662576884031296,0.0,0.0
Test,original,48,randomness_0.2813,101,0.03724612295627594,0.03724612295627594,0.0,0.0
Test,original,48,randomness_0.2813,202,0.03761018440127373,0.03761018440127373,0.0,0.0
Test,original,49,randomness_0.9990,11,0.006302443332970142,0.006302443332970142,0.0,0.0
Test,original,49,randomness_0.9990,42,0.006981258280575275,0.006981258280575275,0.0,0.0
Test,original,49,randomness_0.9990,73,0.0070963772013783455,0.0070963772013783455,0.0,0.0
Test,original,49,randomness_0.9990,101,0.008208061568439007,0.008208061568439007,0.0,0.0
Test,original,49,randomness_0.9990,202,0.0078114671632647514,0.0078114671632647514,0.0,0.0
Test,original,50,randomness_0.0861,11,0.039208486676216125,0.039208486676216125,0.0,0.0
Test,original,50,randomness_0.0861,42,0.03808927536010742,0.03808927536010742,0.0,0.0
Test,original,50,randomness_0.0861,73,0.038073811680078506,0.038073811680078506,0.0,0.0
Test,original,50,randomness_0.0861,101,0.038262493908405304,0.038262493908405304,0.0,0.0
Test,original,50,randomness_0.0861,202,0.03876865655183792,0.03876865655183792,0.0,0.0
Test,original,51,randomness_0.9900,11,0.004691208712756634,0.004691208712756634,0.0,0.0
Test,original,51,randomness_0.9900,42,0.005580815486609936,0.005580815486609936,0.0,0.0
Test,original,51,randomness_0.9900,73,0.005246561951935291,0.005246561951935291,0.0,0.0
Test,original,51,randomness_0.9900,101,0.0044043464586138725,0.0044043464586138725,0.0,0.0
Test,original,51,randomness_0.9900,202,0.004571533761918545,0.004571533761918545,0.0,0.0
Test,original,52,randomness_0.6787,11,0.012770028784871101,0.012770028784871101,0.0,0.0
Test,original,52,randomness_0.6787,42,0.012430974282324314,0.012430974282324314,0.0,0.0
Test,original,52,randomness_0.6787,73,0.012549416162073612,0.012549416162073612,0.0,0.0
Test,original,52,randomness_0.6787,101,0.012066938914358616,0.012066938914358616,0.0,0.0
Test,original,52,randomness_0.6787,202,0.012497062794864178,0.012497062794864178,0.0,0.0
Test,original,53,randomness_0.5836,11,0.02221773937344551,0.02221773937344551,0.0,0.0
Test,original,53,randomness_0.5836,42,0.021537641063332558,0.021537641063332558,0.0,0.0
Test,original,53,randomness_0.5836,73,0.021594149991869926,0.021594149991869926,0.0,0.0
Test,original,53,randomness_0.5836,101,0.021976567804813385,0.021976567804813385,0.0,0.0
Test,original,53,randomness_0.5836,202,0.022037547081708908,0.022037547081708908,0.0,0.0
Test,original,54,randomness_0.9790,11,0.0018837220268324018,0.0018837220268324018,0.0,0.0
Test,original,54,randomness_0.9790,42,0.0017389963613823056,0.0017389963613823056,0.0,0.0
Test,original,54,randomness_0.9790,73,0.002959267469123006,0.002959267469123006,0.0,0.0
Test,original,54,randomness_0.9790,101,0.0028991580475121737,0.0028991580475121737,0.0,0.0
Test,original,54,randomness_0.9790,202,0.002367005916312337,0.002367005916312337,0.0,0.0
Test,original,55,randomness_0.7417,11,0.01044039148837328,0.01044039148837328,0.0,0.0
Test,original,55,randomness_0.7417,42,0.010196936316788197,0.010196936316788197,0.0,0.0
Test,original,55,randomness_0.7417,73,0.010714810341596603,0.010714810341596603,0.0,0.0
Test,original,55,randomness_0.7417,101,0.01106225699186325,0.01106225699186325,0.0,0.0
Test,original,55,randomness_0.7417,202,0.010929333046078682,0.010929333046078682,0.0,0.0
Test,original,56,randomness_0.0440,11,0.03464434668421745,0.03464434668421745,0.0,0.0
Test,original,56,randomness_0.0440,42,0.0349883958697319,0.0349883958697319,0.0,0.0
Test,original,56,randomness_0.0440,73,0.034599289298057556,0.034599289298057556,0.0,0.0
Test,original,56,randomness_0.0440,101,0.0347803458571434,0.0347803458571434,0.0,0.0
Test,original,56,randomness_0.0440,202,0.03543275594711304,0.03543275594711304,0.0,0.0
Test,original,57,randomness_0.0631,11,0.03613751754164696,0.03613751754164696,0.0,0.0
Test,original,57,randomness_0.0631,42,0.036100804805755615,0.036100804805755615,0.0,0.0
Test,original,57,randomness_0.0631,73,0.03612383082509041,0.03612383082509041,0.0,0.0
Test,original,57,randomness_0.0631,101,0.03600423410534859,0.03600423410534859,0.0,0.0
Test,original,57,randomness_0.0631,202,0.03676935285329819,0.03676935285329819,0.0,0.0
Test,original,58,randomness_0.1101,11,0.03675873577594757,0.03675873577594757,0.0,0.0
Test,original,58,randomness_0.1101,42,0.03708268702030182,0.03708268702030182,0.0,0.0
Test,original,58,randomness_0.1101,73,0.036841657012701035,0.036841657012701035,0.0,0.0
Test,original,58,randomness_0.1101,101,0.03608911111950874,0.03608911111950874,0.0,0.0
Test,original,58,randomness_0.1101,202,0.03716934472322464,0.03716934472322464,0.0,0.0
Test,original,59,randomness_0.7648,11,0.017481956630945206,0.017481956630945206,0.0,0.0
Test,original,59,randomness_0.7648,42,0.015695426613092422,0.015695426613092422,0.0,0.0
Test,original,59,randomness_0.7648,73,0.017235353589057922,0.017235353589057922,0.0,0.0
Test,original,59,randomness_0.7648,101,0.017290081828832626,0.017290081828832626,0.0,0.0
Test,original,59,randomness_0.7648,202,0.016052046790719032,0.016052046790719032,0.0,0.0
Test,original,60,randomness_0.3103,11,0.036936111748218536,0.036936111748218536,0.0,0.0
Test,original,60,randomness_0.3103,42,0.036131519824266434,0.036131519824266434,0.0,0.0
Test,original,60,randomness_0.3103,73,0.03598551079630852,0.03598551079630852,0.0,0.0
Test,original,60,randomness_0.3103,101,0.035803887993097305,0.035803887993097305,0.0,0.0
Test,original,60,randomness_0.3103,202,0.03635895997285843,0.03635895997285843,0.0,0.0
Test,original,61,randomness_0.0881,11,0.03813604637980461,0.03813604637980461,0.0,0.0
Test,original,61,randomness_0.0881,42,0.038178566843271255,0.038178566843271255,0.0,0.0
Test,original,61,randomness_0.0881,73,0.03809349611401558,0.03809349611401558,0.0,0.0
Test,original,61,randomness_0.0881,101,0.03805750980973244,0.03805750980973244,0.0,0.0
Test,original,61,randomness_0.0881,202,0.03894457966089249,0.03894457966089249,0.0,0.0
Test,original,62,randomness_0.1391,11,0.03751685470342636,0.03751685470342636,0.0,0.0
Test,original,62,randomness_0.1391,42,0.03685641288757324,0.03685641288757324,0.0,0.0
Test,original,62,randomness_0.1391,73,0.03694169968366623,0.03694169968366623,0.0,0.0
Test,original,62,randomness_0.1391,101,0.03698011487722397,0.03698011487722397,0.0,0.0
